,$/kWh,,,OPR_DT,OPR_HR
1,0.03373982,,,1/1/2020,1
2,0.0317977,,,1/1/2020,2
3,0.03311334,,,1/1/2020,3
4,0.03226382,,,1/1/2020,4
5,0.03217139,,,1/1/2020,5
6,0.03458372,,,1/1/2020,6
7,0.03536653,,,1/1/2020,7
8,0.03411174,,,1/1/2020,8
9,0.0305757,,,1/1/2020,9
10,0.02465443,,,1/1/2020,10
11,0.02159334,,,1/1/2020,11
12,0.0200644,,,1/1/2020,12
13,0.0171217,,,1/1/2020,13
14,0.01461717,,,1/1/2020,14
15,0.01831348,,,1/1/2020,15
16,0.02554745,,,1/1/2020,16
17,0.03617593,,,1/1/2020,17
18,0.04018348,,,1/1/2020,18
19,0.03991096,,,1/1/2020,19
20,0.03910578,,,1/1/2020,20
21,0.03909874,,,1/1/2020,21
22,0.03648789,,,1/1/2020,22
23,0.03277332,,,1/1/2020,23
24,0.03136116,,,1/1/2020,24
25,0.03030285,,,1/2/2020,1
26,0.03090777,,,1/2/2020,2
27,0.02851313,,,1/2/2020,3
28,0.03047718,,,1/2/2020,4
29,0.0305812,,,1/2/2020,5
30,0.03644179,,,1/2/2020,6
31,0.04283,,,1/2/2020,7
32,0.04361934,,,1/2/2020,8
33,0.04110792,,,1/2/2020,9
34,0.0344576,,,1/2/2020,10
35,0.0328238,,,1/2/2020,11
36,0.02979867,,,1/2/2020,12
37,0.02930545,,,1/2/2020,13
38,0.02966896,,,1/2/2020,14
39,0.03229666,,,1/2/2020,15
40,0.03670348,,,1/2/2020,16
41,0.04386512,,,1/2/2020,17
42,0.06706596,,,1/2/2020,18
43,0.04883667,,,1/2/2020,19
44,0.04531083,,,1/2/2020,20
45,0.04203046,,,1/2/2020,21
46,0.04077732,,,1/2/2020,22
47,0.03713458,,,1/2/2020,23
48,0.03470164,,,1/2/2020,24
49,0.03076459,,,1/3/2020,1
50,0.03024931,,,1/3/2020,2
51,0.02965408,,,1/3/2020,3
52,0.0299759,,,1/3/2020,4
53,0.0306045,,,1/3/2020,5
54,0.03264463,,,1/3/2020,6
55,0.04055354,,,1/3/2020,7
56,0.03896398,,,1/3/2020,8
57,0.0319504,,,1/3/2020,9
58,0.03145119,,,1/3/2020,10
59,0.0300071,,,1/3/2020,11
60,0.02524823,,,1/3/2020,12
61,0.02325015,,,1/3/2020,13
62,0.02327462,,,1/3/2020,14
63,0.02818622,,,1/3/2020,15
64,0.0315144,,,1/3/2020,16
65,0.03996827,,,1/3/2020,17
66,0.0513505,,,1/3/2020,18
67,0.04291455,,,1/3/2020,19
68,0.03928949,,,1/3/2020,20
69,0.03790576,,,1/3/2020,21
70,0.03598468,,,1/3/2020,22
71,0.03323572,,,1/3/2020,23
72,0.0312504,,,1/3/2020,24
73,0.03370182,,,1/4/2020,1
74,0.03214153,,,1/4/2020,2
75,0.0321188,,,1/4/2020,3
76,0.03230587,,,1/4/2020,4
77,0.03236199,,,1/4/2020,5
78,0.03408667,,,1/4/2020,6
79,0.03845405,,,1/4/2020,7
80,0.03452749,,,1/4/2020,8
81,0.03160012,,,1/4/2020,9
82,0.02622518,,,1/4/2020,10
83,0.02203909,,,1/4/2020,11
84,0.01851322,,,1/4/2020,12
85,0.01807938,,,1/4/2020,13
86,0.01732781,,,1/4/2020,14
87,0.02260724,,,1/4/2020,15
88,0.03122954,,,1/4/2020,16
89,0.03791717,,,1/4/2020,17
90,0.04081969,,,1/4/2020,18
91,0.04132393,,,1/4/2020,19
92,0.04024985,,,1/4/2020,20
93,0.03891014,,,1/4/2020,21
94,0.03820321,,,1/4/2020,22
95,0.03482849,,,1/4/2020,23
96,0.03390225,,,1/4/2020,24
97,0.03470193,,,1/5/2020,1
98,0.03228025,,,1/5/2020,2
99,0.03219742,,,1/5/2020,3
100,0.03116704,,,1/5/2020,4
101,0.03133309,,,1/5/2020,5
102,0.03224227,,,1/5/2020,6
103,0.0354372,,,1/5/2020,7
104,0.03378813,,,1/5/2020,8
105,0.03173311,,,1/5/2020,9
106,0.02520996,,,1/5/2020,10
107,0.01854599,,,1/5/2020,11
108,0.01740859,,,1/5/2020,12
109,0.01687535,,,1/5/2020,13
110,0.01567026,,,1/5/2020,14
111,0.01807776,,,1/5/2020,15
112,0.02859515,,,1/5/2020,16
113,0.03610789,,,1/5/2020,17
114,0.03941435,,,1/5/2020,18
115,0.03907655,,,1/5/2020,19
116,0.03890398,,,1/5/2020,20
117,0.03777862,,,1/5/2020,21
118,0.03739853,,,1/5/2020,22
119,0.03510051,,,1/5/2020,23
120,0.03052882,,,1/5/2020,24
121,0.03106993,,,1/6/2020,1
122,0.02982617,,,1/6/2020,2
123,0.02844897,,,1/6/2020,3
124,0.02876696,,,1/6/2020,4
125,0.03059293,,,1/6/2020,5
126,0.03679878,,,1/6/2020,6
127,0.04863155,,,1/6/2020,7
128,0.04624985,,,1/6/2020,8
129,0.0418888,,,1/6/2020,9
130,0.02997087,,,1/6/2020,10
131,0.02860735,,,1/6/2020,11
132,0.02956024,,,1/6/2020,12
133,0.02943857,,,1/6/2020,13
134,0.02309966,,,1/6/2020,14
135,0.02646144,,,1/6/2020,15
136,0.03668546,,,1/6/2020,16
137,0.05014929,,,1/6/2020,17
138,0.07261223,,,1/6/2020,18
139,0.05223175,,,1/6/2020,19
140,0.05171368,,,1/6/2020,20
141,0.04735417,,,1/6/2020,21
142,0.04173818,,,1/6/2020,22
143,0.0384992,,,1/6/2020,23
144,0.03514419,,,1/6/2020,24
145,0.03139761,,,1/7/2020,1
146,0.03028122,,,1/7/2020,2
147,0.02973286,,,1/7/2020,3
148,0.03008249,,,1/7/2020,4
149,0.03194043,,,1/7/2020,5
150,0.03705471,,,1/7/2020,6
151,0.04286327,,,1/7/2020,7
152,0.04329111,,,1/7/2020,8
153,0.03708029,,,1/7/2020,9
154,0.03381627,,,1/7/2020,10
155,0.03279389,,,1/7/2020,11
156,0.0326895,,,1/7/2020,12
157,0.03104191,,,1/7/2020,13
158,0.02966031,,,1/7/2020,14
159,0.03028598,,,1/7/2020,15
160,0.03402852,,,1/7/2020,16
161,0.03811575,,,1/7/2020,17
162,0.04362933,,,1/7/2020,18
163,0.0446802,,,1/7/2020,19
164,0.04172648,,,1/7/2020,20
165,0.03990645,,,1/7/2020,21
166,0.03705947,,,1/7/2020,22
167,0.03428332,,,1/7/2020,23
168,0.03155712,,,1/7/2020,24
169,0.03070992,,,1/8/2020,1
170,0.02962612,,,1/8/2020,2
171,0.02904151,,,1/8/2020,3
172,0.02931149,,,1/8/2020,4
173,0.03142853,,,1/8/2020,5
174,0.03699785,,,1/8/2020,6
175,0.04082652,,,1/8/2020,7
176,0.04114872,,,1/8/2020,8
177,0.03749154,,,1/8/2020,9
178,0.03818648,,,1/8/2020,10
179,0.03297595,,,1/8/2020,11
180,0.03315689,,,1/8/2020,12
181,0.0298467,,,1/8/2020,13
182,0.02942413,,,1/8/2020,14
183,0.03032246,,,1/8/2020,15
184,0.03441171,,,1/8/2020,16
185,0.03957373,,,1/8/2020,17
186,0.04361461,,,1/8/2020,18
187,0.0450916,,,1/8/2020,19
188,0.04274776,,,1/8/2020,20
189,0.04021917,,,1/8/2020,21
190,0.03833949,,,1/8/2020,22
191,0.03527678,,,1/8/2020,23
192,0.03172368,,,1/8/2020,24
193,0.03200833,,,1/9/2020,1
194,0.03099168,,,1/9/2020,2
195,0.03035106,,,1/9/2020,3
196,0.03074433,,,1/9/2020,4
197,0.03307311,,,1/9/2020,5
198,0.03813854,,,1/9/2020,6
199,0.04451086,,,1/9/2020,7
200,0.04409103,,,1/9/2020,8
201,0.03992127,,,1/9/2020,9
202,0.03758722,,,1/9/2020,10
203,0.03123116,,,1/9/2020,11
204,0.02820379,,,1/9/2020,12
205,0.02627538,,,1/9/2020,13
206,0.02468619,,,1/9/2020,14
207,0.02842359,,,1/9/2020,15
208,0.03410633,,,1/9/2020,16
209,0.04034055,,,1/9/2020,17
210,0.04635939,,,1/9/2020,18
211,0.04477682,,,1/9/2020,19
212,0.04477732,,,1/9/2020,20
213,0.04439309,,,1/9/2020,21
214,0.04093161,,,1/9/2020,22
215,0.03713445,,,1/9/2020,23
216,0.03477423,,,1/9/2020,24
217,0.03320749,,,1/10/2020,1
218,0.03130428,,,1/10/2020,2
219,0.03131345,,,1/10/2020,3
220,0.03185462,,,1/10/2020,4
221,0.03662581,,,1/10/2020,5
222,0.04000709,,,1/10/2020,6
223,0.05351451,,,1/10/2020,7
224,0.04944906,,,1/10/2020,8
225,0.03889716,,,1/10/2020,9
226,0.03652843,,,1/10/2020,10
227,0.03312221,,,1/10/2020,11
228,0.03299823,,,1/10/2020,12
229,0.03039649,,,1/10/2020,13
230,0.02778406,,,1/10/2020,14
231,0.02868578,,,1/10/2020,15
232,0.03620518,,,1/10/2020,16
233,0.03977698,,,1/10/2020,17
234,0.0510198,,,1/10/2020,18
235,0.05162897,,,1/10/2020,19
236,0.04352103,,,1/10/2020,20
237,0.04195943,,,1/10/2020,21
238,0.03960285,,,1/10/2020,22
239,0.03888475,,,1/10/2020,23
240,0.03653918,,,1/10/2020,24
241,0.03590901,,,1/11/2020,1
242,0.0329507,,,1/11/2020,2
243,0.03160925,,,1/11/2020,3
244,0.03164735,,,1/11/2020,4
245,0.0328054,,,1/11/2020,5
246,0.03696499,,,1/11/2020,6
247,0.03884219,,,1/11/2020,7
248,0.03902112,,,1/11/2020,8
249,0.03557554,,,1/11/2020,9
250,0.02657407,,,1/11/2020,10
251,0.01999319,,,1/11/2020,11
252,0.01823491,,,1/11/2020,12
253,0.01360499,,,1/11/2020,13
254,0.01187167,,,1/11/2020,14
255,0.01910133,,,1/11/2020,15
256,0.02990793,,,1/11/2020,16
257,0.0376416,,,1/11/2020,17
258,0.03954174,,,1/11/2020,18
259,0.04297737,,,1/11/2020,19
260,0.04106975,,,1/11/2020,20
261,0.04044685,,,1/11/2020,21
262,0.03879299,,,1/11/2020,22
263,0.03806751,,,1/11/2020,23
264,0.03557525,,,1/11/2020,24
265,0.03403379,,,1/12/2020,1
266,0.03490683,,,1/12/2020,2
267,0.03550421,,,1/12/2020,3
268,0.03581918,,,1/12/2020,4
269,0.03621902,,,1/12/2020,5
270,0.0366609,,,1/12/2020,6
271,0.03822109,,,1/12/2020,7
272,0.03687247,,,1/12/2020,8
273,0.0316793,,,1/12/2020,9
274,0.03016773,,,1/12/2020,10
275,0.02739563,,,1/12/2020,11
276,0.0246055,,,1/12/2020,12
277,0.02337098,,,1/12/2020,13
278,0.02359445,,,1/12/2020,14
279,0.02414543,,,1/12/2020,15
280,0.03200244,,,1/12/2020,16
281,0.03765859,,,1/12/2020,17
282,0.0424935,,,1/12/2020,18
283,0.04745293,,,1/12/2020,19
284,0.0391407,,,1/12/2020,20
285,0.03737817,,,1/12/2020,21
286,0.03632384,,,1/12/2020,22
287,0.03516622,,,1/12/2020,23
288,0.03492473,,,1/12/2020,24
289,0.02979605,,,1/13/2020,1
290,0.02925499,,,1/13/2020,2
291,0.02853483,,,1/13/2020,3
292,0.02911867,,,1/13/2020,4
293,0.03096602,,,1/13/2020,5
294,0.03667554,,,1/13/2020,6
295,0.04813807,,,1/13/2020,7
296,0.04586759,,,1/13/2020,8
297,0.03759732,,,1/13/2020,9
298,0.03272404,,,1/13/2020,10
299,0.03208043,,,1/13/2020,11
300,0.03138227,,,1/13/2020,12
301,0.02869018,,,1/13/2020,13
302,0.02682686,,,1/13/2020,14
303,0.03073537,,,1/13/2020,15
304,0.03609596,,,1/13/2020,16
305,0.04271959,,,1/13/2020,17
306,0.05865794,,,1/13/2020,18
307,0.05633233,,,1/13/2020,19
308,0.05487334,,,1/13/2020,20
309,0.05160912,,,1/13/2020,21
310,0.04532508,,,1/13/2020,22
311,0.0363515,,,1/13/2020,23
312,0.03444391,,,1/13/2020,24
313,0.03025541,,,1/14/2020,1
314,0.02849519,,,1/14/2020,2
315,0.02759573,,,1/14/2020,3
316,0.0283643,,,1/14/2020,4
317,0.03081498,,,1/14/2020,5
318,0.0352875,,,1/14/2020,6
319,0.04903503,,,1/14/2020,7
320,0.04663163,,,1/14/2020,8
321,0.03779555,,,1/14/2020,9
322,0.03339917,,,1/14/2020,10
323,0.0297064,,,1/14/2020,11
324,0.0297394,,,1/14/2020,12
325,0.02634153,,,1/14/2020,13
326,0.02633729,,,1/14/2020,14
327,0.02844703,,,1/14/2020,15
328,0.0319886,,,1/14/2020,16
329,0.03671494,,,1/14/2020,17
330,0.05929862,,,1/14/2020,18
331,0.05320033,,,1/14/2020,19
332,0.05005077,,,1/14/2020,20
333,0.04645546,,,1/14/2020,21
334,0.03921083,,,1/14/2020,22
335,0.0342911,,,1/14/2020,23
336,0.03367842,,,1/14/2020,24
337,0.03050087,,,1/15/2020,1
338,0.02992205,,,1/15/2020,2
339,0.02979868,,,1/15/2020,3
340,0.03085544,,,1/15/2020,4
341,0.03410529,,,1/15/2020,5
342,0.04110627,,,1/15/2020,6
343,0.05790843,,,1/15/2020,7
344,0.05990755,,,1/15/2020,8
345,0.03950947,,,1/15/2020,9
346,0.03714559,,,1/15/2020,10
347,0.03392088,,,1/15/2020,11
348,0.03378643,,,1/15/2020,12
349,0.03098131,,,1/15/2020,13
350,0.03169325,,,1/15/2020,14
351,0.03432914,,,1/15/2020,15
352,0.03787213,,,1/15/2020,16
353,0.04870399,,,1/15/2020,17
354,0.06484187,,,1/15/2020,18
355,0.05914505,,,1/15/2020,19
356,0.05763249,,,1/15/2020,20
357,0.0489006,,,1/15/2020,21
358,0.04431661,,,1/15/2020,22
359,0.03787759,,,1/15/2020,23
360,0.036771,,,1/15/2020,24
361,0.03017266,,,1/16/2020,1
362,0.02863717,,,1/16/2020,2
363,0.02815628,,,1/16/2020,3
364,0.02847483,,,1/16/2020,4
365,0.03171684,,,1/16/2020,5
366,0.03714359,,,1/16/2020,6
367,0.04866739,,,1/16/2020,7
368,0.04817971,,,1/16/2020,8
369,0.03727444,,,1/16/2020,9
370,0.03466086,,,1/16/2020,10
371,0.03122441,,,1/16/2020,11
372,0.03048828,,,1/16/2020,12
373,0.02798102,,,1/16/2020,13
374,0.02740643,,,1/16/2020,14
375,0.02931715,,,1/16/2020,15
376,0.03252952,,,1/16/2020,16
377,0.0413098,,,1/16/2020,17
378,0.05002194,,,1/16/2020,18
379,0.05002659,,,1/16/2020,19
380,0.04561604,,,1/16/2020,20
381,0.0420952,,,1/16/2020,21
382,0.03869875,,,1/16/2020,22
383,0.03351445,,,1/16/2020,23
384,0.0320974,,,1/16/2020,24
385,0.02898307,,,1/17/2020,1
386,0.02802513,,,1/17/2020,2
387,0.02651985,,,1/17/2020,3
388,0.02795269,,,1/17/2020,4
389,0.02916564,,,1/17/2020,5
390,0.03575989,,,1/17/2020,6
391,0.04928764,,,1/17/2020,7
392,0.0441302,,,1/17/2020,8
393,0.03436807,,,1/17/2020,9
394,0.03178186,,,1/17/2020,10
395,0.03005598,,,1/17/2020,11
396,0.02855771,,,1/17/2020,12
397,0.02702779,,,1/17/2020,13
398,0.02663324,,,1/17/2020,14
399,0.02861967,,,1/17/2020,15
400,0.02927179,,,1/17/2020,16
401,0.04266059,,,1/17/2020,17
402,0.05318798,,,1/17/2020,18
403,0.05193091,,,1/17/2020,19
404,0.04697216,,,1/17/2020,20
405,0.04133665,,,1/17/2020,21
406,0.04129853,,,1/17/2020,22
407,0.03550341,,,1/17/2020,23
408,0.0339566,,,1/17/2020,24
409,0.03223766,,,1/18/2020,1
410,0.03161921,,,1/18/2020,2
411,0.029636,,,1/18/2020,3
412,0.02846944,,,1/18/2020,4
413,0.02942914,,,1/18/2020,5
414,0.03337268,,,1/18/2020,6
415,0.03251338,,,1/18/2020,7
416,0.03246389,,,1/18/2020,8
417,0.03178194,,,1/18/2020,9
418,0.02604286,,,1/18/2020,10
419,0.02434187,,,1/18/2020,11
420,0.01954599,,,1/18/2020,12
421,0.01898635,,,1/18/2020,13
422,0.01789284,,,1/18/2020,14
423,0.02169899,,,1/18/2020,15
424,0.02978407,,,1/18/2020,16
425,0.03541755,,,1/18/2020,17
426,0.04381637,,,1/18/2020,18
427,0.04346889,,,1/18/2020,19
428,0.03852934,,,1/18/2020,20
429,0.03778708,,,1/18/2020,21
430,0.03558151,,,1/18/2020,22
431,0.03484277,,,1/18/2020,23
432,0.03316442,,,1/18/2020,24
433,0.03074491,,,1/19/2020,1
434,0.02864301,,,1/19/2020,2
435,0.02885166,,,1/19/2020,3
436,0.02850932,,,1/19/2020,4
437,0.0303405,,,1/19/2020,5
438,0.03240107,,,1/19/2020,6
439,0.03251116,,,1/19/2020,7
440,0.03083014,,,1/19/2020,8
441,0.02992576,,,1/19/2020,9
442,0.02477927,,,1/19/2020,10
443,0.01919382,,,1/19/2020,11
444,0.01779058,,,1/19/2020,12
445,0.01872954,,,1/19/2020,13
446,0.02038084,,,1/19/2020,14
447,0.02489406,,,1/19/2020,15
448,0.03081348,,,1/19/2020,16
449,0.03610798,,,1/19/2020,17
450,0.04037404,,,1/19/2020,18
451,0.04171239,,,1/19/2020,19
452,0.03860922,,,1/19/2020,20
453,0.03609793,,,1/19/2020,21
454,0.03476869,,,1/19/2020,22
455,0.03418731,,,1/19/2020,23
456,0.03158885,,,1/19/2020,24
457,0.0301267,,,1/20/2020,1
458,0.02782725,,,1/20/2020,2
459,0.02759093,,,1/20/2020,3
460,0.0277039,,,1/20/2020,4
461,0.02918926,,,1/20/2020,5
462,0.03359955,,,1/20/2020,6
463,0.03572304,,,1/20/2020,7
464,0.03806573,,,1/20/2020,8
465,0.03797456,,,1/20/2020,9
466,0.03526285,,,1/20/2020,10
467,0.03331155,,,1/20/2020,11
468,0.03250144,,,1/20/2020,12
469,0.03089234,,,1/20/2020,13
470,0.03032513,,,1/20/2020,14
471,0.03212649,,,1/20/2020,15
472,0.03321257,,,1/20/2020,16
473,0.0411967,,,1/20/2020,17
474,0.04632233,,,1/20/2020,18
475,0.04562316,,,1/20/2020,19
476,0.04335607,,,1/20/2020,20
477,0.03886872,,,1/20/2020,21
478,0.03525978,,,1/20/2020,22
479,0.0336185,,,1/20/2020,23
480,0.03190251,,,1/20/2020,24
481,0.02932631,,,1/21/2020,1
482,0.02806405,,,1/21/2020,2
483,0.02745511,,,1/21/2020,3
484,0.02752835,,,1/21/2020,4
485,0.02808213,,,1/21/2020,5
486,0.0307,,,1/21/2020,6
487,0.03983632,,,1/21/2020,7
488,0.03796527,,,1/21/2020,8
489,0.03713677,,,1/21/2020,9
490,0.03328996,,,1/21/2020,10
491,0.02994997,,,1/21/2020,11
492,0.02944141,,,1/21/2020,12
493,0.02743987,,,1/21/2020,13
494,0.0251911,,,1/21/2020,14
495,0.02671886,,,1/21/2020,15
496,0.03040392,,,1/21/2020,16
497,0.03478075,,,1/21/2020,17
498,0.04421144,,,1/21/2020,18
499,0.04518508,,,1/21/2020,19
500,0.0394088,,,1/21/2020,20
501,0.03586185,,,1/21/2020,21
502,0.03373062,,,1/21/2020,22
503,0.03124575,,,1/21/2020,23
504,0.02733354,,,1/21/2020,24
505,0.02401215,,,1/22/2020,1
506,0.02356209,,,1/22/2020,2
507,0.0229097,,,1/22/2020,3
508,0.02337572,,,1/22/2020,4
509,0.02503252,,,1/22/2020,5
510,0.02718636,,,1/22/2020,6
511,0.03771339,,,1/22/2020,7
512,0.03774277,,,1/22/2020,8
513,0.03069606,,,1/22/2020,9
514,0.02811542,,,1/22/2020,10
515,0.02612707,,,1/22/2020,11
516,0.02448241,,,1/22/2020,12
517,0.02153696,,,1/22/2020,13
518,0.02116532,,,1/22/2020,14
519,0.02232067,,,1/22/2020,15
520,0.02768749,,,1/22/2020,16
521,0.03464082,,,1/22/2020,17
522,0.05298104,,,1/22/2020,18
523,0.04884267,,,1/22/2020,19
524,0.04365075,,,1/22/2020,20
525,0.0389522,,,1/22/2020,21
526,0.03565215,,,1/22/2020,22
527,0.03071034,,,1/22/2020,23
528,0.02965427,,,1/22/2020,24
529,0.02822407,,,1/23/2020,1
530,0.02606934,,,1/23/2020,2
531,0.02489549,,,1/23/2020,3
532,0.02568909,,,1/23/2020,4
533,0.02803182,,,1/23/2020,5
534,0.0317076,,,1/23/2020,6
535,0.03650654,,,1/23/2020,7
536,0.038486,,,1/23/2020,8
537,0.02915527,,,1/23/2020,9
538,0.02754815,,,1/23/2020,10
539,0.02550976,,,1/23/2020,11
540,0.02522507,,,1/23/2020,12
541,0.02277146,,,1/23/2020,13
542,0.02198052,,,1/23/2020,14
543,0.02430989,,,1/23/2020,15
544,0.0270242,,,1/23/2020,16
545,0.03257103,,,1/23/2020,17
546,0.04492525,,,1/23/2020,18
547,0.04308592,,,1/23/2020,19
548,0.03818628,,,1/23/2020,20
549,0.036181,,,1/23/2020,21
550,0.03443594,,,1/23/2020,22
551,0.03075101,,,1/23/2020,23
552,0.02862114,,,1/23/2020,24
553,0.02697884,,,1/24/2020,1
554,0.02653497,,,1/24/2020,2
555,0.02501405,,,1/24/2020,3
556,0.02535635,,,1/24/2020,4
557,0.02651367,,,1/24/2020,5
558,0.02781816,,,1/24/2020,6
559,0.03812519,,,1/24/2020,7
560,0.0359069,,,1/24/2020,8
561,0.02915216,,,1/24/2020,9
562,0.02732202,,,1/24/2020,10
563,0.02181275,,,1/24/2020,11
564,0.02056925,,,1/24/2020,12
565,0.01769654,,,1/24/2020,13
566,0.01633792,,,1/24/2020,14
567,0.01788045,,,1/24/2020,15
568,0.02298462,,,1/24/2020,16
569,0.03206075,,,1/24/2020,17
570,0.0392675,,,1/24/2020,18
571,0.03817196,,,1/24/2020,19
572,0.03506796,,,1/24/2020,20
573,0.03361564,,,1/24/2020,21
574,0.03228517,,,1/24/2020,22
575,0.03096993,,,1/24/2020,23
576,0.02797,,,1/24/2020,24
577,0.02466507,,,1/25/2020,1
578,0.02692385,,,1/25/2020,2
579,0.02469153,,,1/25/2020,3
580,0.02565966,,,1/25/2020,4
581,0.0256997,,,1/25/2020,5
582,0.0290431,,,1/25/2020,6
583,0.03389977,,,1/25/2020,7
584,0.03329137,,,1/25/2020,8
585,0.02908917,,,1/25/2020,9
586,0.0231269,,,1/25/2020,10
587,0.01892181,,,1/25/2020,11
588,0.01719302,,,1/25/2020,12
589,0.01697918,,,1/25/2020,13
590,0.01682082,,,1/25/2020,14
591,0.01696774,,,1/25/2020,15
592,0.0238861,,,1/25/2020,16
593,0.03254755,,,1/25/2020,17
594,0.04180759,,,1/25/2020,18
595,0.0397205,,,1/25/2020,19
596,0.03626104,,,1/25/2020,20
597,0.03374749,,,1/25/2020,21
598,0.0308907,,,1/25/2020,22
599,0.02821245,,,1/25/2020,23
600,0.027461,,,1/25/2020,24
601,0.02466,,,1/26/2020,1
602,0.02579713,,,1/26/2020,2
603,0.02630512,,,1/26/2020,3
604,0.02644125,,,1/26/2020,4
605,0.02588725,,,1/26/2020,5
606,0.02833034,,,1/26/2020,6
607,0.02844,,,1/26/2020,7
608,0.02749364,,,1/26/2020,8
609,0.02028797,,,1/26/2020,9
610,0.01579273,,,1/26/2020,10
611,0.01315,,,1/26/2020,11
612,0.00789832,,,1/26/2020,12
613,0.01,,,1/26/2020,13
614,0.00872937,,,1/26/2020,14
615,0.00968525,,,1/26/2020,15
616,0.01726789,,,1/26/2020,16
617,0.0284297,,,1/26/2020,17
618,0.0365591,,,1/26/2020,18
